timestamp mote_count room_0 value_0 room_1 value_1 room_2 value_2 room_3 value_3 room_4 value_4 room_5 value_5
1--72:2--97:,2015.3.15-17.54.3
1--96:2--97:,2015.3.15-17.54.4
1--102:2--97:,2015.3.15-17.54.5
1--95:2--97:,2015.3.15-17.54.6
1--95:2--97:,2015.3.15-17.54.7
1--94:,2015.3.15-17.54.8
1--94:,2015.3.15-17.54.9
1--95:,2015.3.15-17.54.10
1--95:,2015.3.15-17.54.11
1--94:,2015.3.15-17.54.12
1--72:,2015.3.15-17.54.13
1--100:,2015.3.15-17.54.14
1--94:,2015.3.15-17.54.15
1--96:4--101:,2015.3.15-17.54.16
1--94:4--101:,2015.3.15-17.54.17
1--95:4--101:,2015.3.15-17.54.19
1--94:4--100:,2015.3.15-17.54.20
1--104:4--101:,2015.3.15-17.54.21
1--92:4--72:,2015.3.15-17.54.22
1--93:4--99:,2015.3.15-17.54.23
1--93:4--72:,2015.3.15-17.54.24
1--90:4--72:,2015.3.15-17.54.25
1--93:4--72:,2015.3.15-17.54.26
1--95:4--72:,2015.3.15-17.54.27
1--92:4--99:,2015.3.15-17.54.28
1--98:4--99:,2015.3.15-17.54.29
1--72:4--98:,2015.3.15-17.54.30
1--94:4--95:,2015.3.15-17.54.31
1--91:4--95:,2015.3.15-17.54.32
1--95:4--95:,2015.3.15-17.54.33
1--95:4--95:,2015.3.15-17.54.34
1--91:4--95:,2015.3.15-17.54.35
1--96:4--95:,2015.3.15-17.54.36
1--72:4--99:,2015.3.15-17.54.37
1--94:4--94:,2015.3.15-17.54.38
1--92:4--96:,2015.3.15-17.54.39
1--97:4--98:,2015.3.15-17.54.40
1--97:4--98:,2015.3.15-17.54.41
1--90:4--96:,2015.3.15-17.54.43
1--89:4--96:,2015.3.15-17.54.44
1--69:4--96:,2015.3.15-17.54.45
1--94:4--96:,2015.3.15-17.54.46
1--97:4--96:,2015.3.15-17.54.47
1--69:4--99:,2015.3.15-17.54.48
1--97:4--99:,2015.3.15-17.54.49
1--92:4--99:,2015.3.15-17.54.50
1--91:4--103:,2015.3.15-17.54.51
1--88:2--96:4--103:,2015.3.15-17.54.52
1--69:2--96:4--103:,2015.3.15-17.54.53
1--69:2--96:4--103:,2015.3.15-17.54.54
1--69:2--96:4--103:,2015.3.15-17.54.55
1--69:2--96:4--103:,2015.3.15-17.54.56
1--69:2--96:4--103:,2015.3.15-17.54.57
1--69:2--96:4--103:,2015.3.15-17.54.58
1--69:2--96:4--103:,2015.3.15-17.54.59
1--69:2--96:4--103:,2015.3.15-17.55.0
1--69:,2015.3.15-17.55.1
1--69:,2015.3.15-17.55.2
1--96:,2015.3.15-17.55.28
1--96:,2015.3.15-17.55.29
1--96:,2015.3.15-17.55.30
1--96:,2015.3.15-17.55.31
1--95:,2015.3.15-17.55.32
1--99:,2015.3.15-17.55.33
1--72:,2015.3.15-17.55.34
1--96:,2015.3.15-17.55.35
1--96:,2015.3.15-17.55.36
1--96:,2015.3.15-17.55.37
1--96:,2015.3.15-17.55.39
1--96:,2015.3.15-17.55.40
1--96:,2015.3.15-17.55.41
1--96:,2015.3.15-17.55.42
1--96:,2015.3.15-17.55.43
1--96:,2015.3.15-17.55.44
1--96:,2015.3.15-17.55.45
1--101:,2015.3.15-17.55.46
1--101:,2015.3.15-17.55.47
1--101:,2015.3.15-17.55.48
1--101:,2015.3.15-17.55.49
1--101:,2015.3.15-17.55.50
1--100:,2015.3.15-17.55.51
1--101:,2015.3.15-17.55.52
1--101:,2015.3.15-17.55.53
1--101:,2015.3.15-17.55.54
1--96:,2015.3.15-17.55.55
1--96:,2015.3.15-17.55.56
1--96:,2015.3.15-17.55.57
1--102:,2015.3.15-17.55.58
1--102:,2015.3.15-17.55.59
1--97:,2015.3.15-17.56.0
1--97:,2015.3.15-17.56.1
1--103:,2015.3.15-17.56.3
1--101:,2015.3.15-17.56.4
1--99:,2015.3.15-17.56.5
1--72:,2015.3.15-17.56.6
1--72:,2015.3.15-17.56.7
1--98:,2015.3.15-17.56.8
1--96:,2015.3.15-17.56.9
1--72:,2015.3.15-17.56.10
1--72:,2015.3.15-17.56.11
1--72:,2015.3.15-17.56.12
1--101:,2015.3.15-17.56.13
1--97:,2015.3.15-17.56.14
1--91:,2015.3.15-17.56.15
1--100:,2015.3.15-17.56.16
1--101:,2015.3.15-17.56.17
1--94:,2015.3.15-17.56.18
1--69:,2015.3.15-17.56.19
1--91:,2015.3.15-17.56.20
1--66:,2015.3.15-17.56.21
1--92:,2015.3.15-17.56.22
1--89:,2015.3.15-17.56.23
1--69:,2015.3.15-17.56.24
1--72:,2015.3.15-17.56.25
1--96:,2015.3.15-17.56.27
1--96:,2015.3.15-17.56.28
1--96:,2015.3.15-17.56.29
1--103:,2015.3.15-17.56.30
1--72:,2015.3.15-17.56.31
1--72:,2015.3.15-17.56.32
1--99:,2015.3.15-17.56.33
1--99:,2015.3.15-17.56.34
1--99:,2015.3.15-17.56.35
1--100:,2015.3.15-17.56.36
1--100:,2015.3.15-17.56.37
1--72:,2015.3.15-17.56.38
1--72:,2015.3.15-17.56.39
1--97:,2015.3.15-17.56.40
1--97:,2015.3.15-17.56.41
1--97:,2015.3.15-17.56.42
1--97:,2015.3.15-17.56.43
1--97:,2015.3.15-17.56.44
1--72:,2015.3.15-17.56.45
1--100:,2015.3.15-17.56.46
1--100:,2015.3.15-17.56.47
1--98:,2015.3.15-17.56.48
1--98:,2015.3.15-17.56.50
1--97:,2015.3.15-17.56.51
1--72:,2015.3.15-17.56.52
1--72:,2015.3.15-17.56.53
1--111:,2015.3.15-17.56.54
1--97:4--90:,2015.3.15-17.56.55
1--72:4--90:,2015.3.15-17.56.56
1--72:4--69:,2015.3.15-17.56.57
1--72:4--69:,2015.3.15-17.56.58
1--72:4--66:,2015.3.15-17.56.59
1--72:4--66:,2015.3.15-17.57.0
1--72:4--66:,2015.3.15-17.57.1
1--72:4--66:,2015.3.15-17.57.2
1--72:4--66:,2015.3.15-17.57.3
1--72:4--66:,2015.3.15-17.57.4
4--66:,2015.3.15-17.57.5
4--66:,2015.3.15-17.57.6
4--66:,2015.3.15-17.57.7
4--92:,2015.3.15-17.57.8
4--92:,2015.3.15-17.57.9
4--92:,2015.3.15-17.57.10
4--92:,2015.3.15-17.57.11
